采集时间,路线,方向,站点名,站点ID,班次序号,预计到达时间(ETA),数据生成时间
2026-04-19 18:24:42,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,1,2026-04-19T18:25:44+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,2,2026-04-19T18:25:47+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,3,2026-04-19T18:29:25+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,1A,O,中秀茂坪,A3ADFCDF8487ADB9,1,2026-04-19T18:26:00+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,1A,O,中秀茂坪,A3ADFCDF8487ADB9,2,2026-04-19T18:35:00+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,1A,O,中秀茂坪,A3ADFCDF8487ADB9,3,2026-04-19T18:44:00+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,1A,O,中秀茂坪,A3ADFCDF8487ADB9,1,2026-04-19T18:28:38+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,1A,O,中秀茂坪,A3ADFCDF8487ADB9,2,2026-04-19T18:30:25+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,1A,O,中秀茂坪,A3ADFCDF8487ADB9,3,2026-04-19T18:32:41+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,2026-04-19T18:23:47+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,2026-04-19T18:23:47+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,2026-04-19T18:23:47+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:24:42,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,2026-04-19T18:23:47+08:00,2026-04-19T18:24:09+08:00
2026-04-19 18:29:43,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,1,2026-04-19T18:31:34+08:00,2026-04-19T18:29:37+08:00
2026-04-19 18:29:43,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,2,2026-04-19T18:38:48+08:00,2026-04-19T18:29:37+08:00
2026-04-19 18:29:43,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,3,2026-04-19T18:40:39+08:00,2026-04-19T18:29:37+08:00
2026-04-19 18:29:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,1,2026-04-19T18:35:00+08:00,2026-04-19T18:28:41+08:00
2026-04-19 18:29:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,2,2026-04-19T18:44:00+08:00,2026-04-19T18:28:41+08:00
2026-04-19 18:29:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,3,2026-04-19T18:53:00+08:00,2026-04-19T18:28:41+08:00
2026-04-19 18:29:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,1,2026-04-19T18:28:51+08:00,2026-04-19T18:28:41+08:00
2026-04-19 18:29:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,2,2026-04-19T18:29:48+08:00,2026-04-19T18:28:41+08:00
2026-04-19 18:29:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,3,2026-04-19T18:34:55+08:00,2026-04-19T18:28:41+08:00
2026-04-19 18:29:43,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T18:29:37+08:00
2026-04-19 18:29:43,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T18:29:37+08:00
2026-04-19 18:29:43,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T18:29:37+08:00
2026-04-19 18:29:43,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T18:29:37+08:00
2026-04-19 18:34:43,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,1,2026-04-19T18:31:41+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,2,2026-04-19T18:38:03+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,3,2026-04-19T18:40:19+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,1,2026-04-19T18:35:00+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,2,2026-04-19T18:44:00+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,3,2026-04-19T18:53:00+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,1,2026-04-19T18:36:48+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,2,2026-04-19T18:43:10+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,1A,O,中秀茂坪,A3ADFCDF8487ADB9,3,2026-04-19T18:51:28+08:00,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T18:32:39+08:00
2026-04-19 18:34:43,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T18:32:39+08:00
2026-04-19 21:29:21,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,1,2026-04-19T21:36:47+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,2,2026-04-19T21:43:44+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,1A,O,尖沙咀碼頭,DCFF4041D0C0ACF8,3,2026-04-19T22:02:41+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,1A,O,中秀茂坪,A3ADFCDF8487ADB9,1,2026-04-19T21:40:00+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,1A,O,中秀茂坪,A3ADFCDF8487ADB9,2,2026-04-19T22:00:00+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,1A,O,中秀茂坪,A3ADFCDF8487ADB9,3,2026-04-19T22:20:00+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,1A,O,中秀茂坪,A3ADFCDF8487ADB9,1,2026-04-19T21:32:26+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,1A,O,中秀茂坪,A3ADFCDF8487ADB9,2,2026-04-19T21:33:40+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,1A,O,中秀茂坪,A3ADFCDF8487ADB9,3,2026-04-19T21:48:54+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,101,I,紅隧轉車站,032C7D86DF9ED3AC,1,,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,279X,O,聯和墟總站,E057FE733052DDD7,1,2026-04-19T21:30:00+08:00,2026-04-19T21:28:37+08:00
2026-04-19 21:29:21,279X,O,聯和墟總站,E057FE733052DDD7,2,2026-04-19T21:45:00+08:00,2026-04-19T21:28:37+08:00
