采集时间,路线ID,路线名称,方向,站点名,站点ID,班次序号,预计到达时间(ETA),目的地,备注
2026-04-20 00:54:43,10,CTB 10 (堅尼地城 → 北角碼頭),堅尼地城,001227,,,,,
2026-04-20 00:54:43,10,CTB 10 (堅尼地城 → 北角碼頭),中環街市,001028,,,,,
2026-04-20 00:54:43,10,CTB 10 (堅尼地城 → 北角碼頭),北角碼頭,001262,,,,,
2026-04-20 00:54:43,619,CTB 619 (中環港澳碼頭 → 順利邨),中環 (港澳碼頭),001016,,,,,
2026-04-20 00:54:43,619,CTB 619 (中環港澳碼頭 → 順利邨),紅磡海底隧道,001537,,,,,
2026-04-20 00:54:43,619,CTB 619 (中環港澳碼頭 → 順利邨),順利邨,002103,,,,,
2026-04-20 00:54:43,969,CTB 969 (天水圍市中心 → 銅鑼灣摩頓台),天水圍市中心,001990,,,,,
2026-04-20 00:54:43,969,CTB 969 (天水圍市中心 → 銅鑼灣摩頓台),大欖隧道轉車站,002266,,,,,
2026-04-20 00:54:43,969,CTB 969 (天水圍市中心 → 銅鑼灣摩頓台),銅鑼灣 (摩頓台),002445,,,,,
2026-04-20 00:59:08,10+1+Kennedy Town+North Point Ferry Pier,CTB 10 (堅尼地城 → 北角碼頭),去程,,,,2026-04-20T01:05:00+08:00,,"{'zh': '', 'en': ''}"
2026-04-20 00:59:08,619+1+CENTRAL (MACAO FERRY)+SHUN LEE,CTB 619 (中環港澳碼頭 → 順利邨),去程,,,,,,"{'zh': '最後班次已過', 'en': 'The final bus has departed from this stop'}"
2026-04-20 01:09:48,619+1+CENTRAL (MACAO FERRY)+SHUN LEE,CTB 619,去程,,,,,,"{'zh': '', 'en': ''}"
