采集时间,路线,站点名,站点ID,方向,班次序号,预计到达时间(ETA),目的地,备注,数据生成时间
2026-04-20 01:34:45,10,"10号-謝斐道, 近兆安廣場（始发站）",20014859,,,[],,,
2026-04-20 01:34:45,10,"10号-謝斐道, 近兆安廣場（始发站）",20014859,,,[],,,
2026-04-20 01:34:45,10,"10号-薄扶林道, 寶翠園對面",20000009,,,[],,,
2026-04-20 01:34:45,10,10号-數碼港巴士總站（终点站）,20014874,,,[],,,
2026-04-20 01:34:45,10,10号-數碼港巴士總站（终点站）,20014874,,,[],,,
2026-04-20 01:34:45,58,58号-堅尼地城站（始发站）,20009733,,,[],,,
2026-04-20 01:34:45,58,58号-堅尼地城站（始发站）,20009733,,,[],,,
2026-04-20 01:34:45,58,"58号-沙灣徑, 麥理浩復康院外",20004594,,,[],,,
2026-04-20 01:34:45,58,"58号-湖南街, 安泰大廈外（终点站）",20000326,,,[],,,
2026-04-20 01:34:45,58,"58号-湖南街, 安泰大廈外（终点站）",20000326,,,[],,,
